Federated_Learning | DEBUG flwr 2024-04-29 02:10:04,069 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
Federated_Learning | INFO flwr 2024-04-29 02:10:57,242 | client.py:309 | There is a delay of 22.633 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:10:57,247 | client.py:232 | Node 2 is transmitter for slot 5
Federated_Learning | INFO flwr 2024-04-29 02:10:57,247 | client.py:309 | There is a delay of 0.449 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:57,249 | client.py:232 | Node 2 is transmitter for slot 6
Federated_Learning | INFO flwr 2024-04-29 02:10:57,249 | client.py:309 | There is a delay of 0.39 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:10:57,270 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:57,275 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:57,276 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:57,292 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:57,292 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:57,292 | app.py:465 | Received: evaluate message 3ae24a72-b256-472c-b110-82c521ef0f34
Federated_Learning | INFO flwr 2024-04-29 02:10:57,299 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:57,300 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:57,300 | app.py:465 | Received: evaluate message db043c08-e381-4d5a-a472-12ccac1949e0
Federated_Learning | INFO flwr 2024-04-29 02:10:57,319 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:57,320 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:57,320 | app.py:465 | Received: evaluate message 5c3babf0-bb91-494a-8079-dd7c832884b0
Federated_Learning | INFO flwr 2024-04-29 02:10:57,324 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:59,365 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:59,456 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:10:59,479 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:59,479 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:59,479 | app.py:465 | Received: train message 9bd0994f-adc6-4f8a-99d1-511dce1e2760
Federated_Learning | INFO flwr 2024-04-29 02:10:59,488 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:59,489 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:59,489 | app.py:465 | Received: train message b74bea7a-f04a-4295-a2be-1037f54664d1
Federated_Learning | INFO flwr 2024-04-29 02:10:59,490 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:10:59,490 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:10:59,490 | app.py:465 | Received: train message a006f19d-ca76-4ca3-abd5-baa16322f5c1
Federated_Learning | INFO flwr 2024-04-29 02:11:10,590 | client.py:232 | Node 1 is transmitter for slot 0
Federated_Learning | INFO flwr 2024-04-29 02:11:10,592 | client.py:309 | There is a delay of 0.653 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:10,593 | client.py:232 | Node 2 is transmitter for slot 1
Federated_Learning | INFO flwr 2024-04-29 02:11:10,594 | client.py:309 | There is a delay of 0.46599999999999997 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:10,596 | client.py:232 | Node 2 is transmitter for slot 2
Federated_Learning | INFO flwr 2024-04-29 02:11:10,597 | client.py:309 | There is a delay of 0.631 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:10,601 | client.py:232 | Node 1 is transmitter for slot 3
Federated_Learning | INFO flwr 2024-04-29 02:11:10,602 | client.py:309 | There is a delay of 0.541 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:10,604 | client.py:232 | Node 1 is transmitter for slot 4
Federated_Learning | INFO flwr 2024-04-29 02:11:10,605 | client.py:309 | There is a delay of 0.585 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:10,608 | client.py:232 | Node 2 is transmitter for slot 5
Federated_Learning | INFO flwr 2024-04-29 02:11:10,609 | client.py:309 | There is a delay of 0.477 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:10,609 | client.py:232 | Node 2 is transmitter for slot 6
Federated_Learning | INFO flwr 2024-04-29 02:11:10,630 | client.py:309 | There is a delay of 20.567 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:10,653 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:10,657 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:10,657 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:10,674 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:10,675 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:10,675 | app.py:465 | Received: evaluate message 7b4db221-8b26-4f39-823a-bd02dbbf5b14
Federated_Learning | INFO flwr 2024-04-29 02:11:10,686 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:10,686 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:10,686 | app.py:465 | Received: evaluate message 8347ec59-6d8c-40e4-ae73-771cb7dd21e9
Federated_Learning | INFO flwr 2024-04-29 02:11:10,687 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:10,690 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:10,691 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:10,691 | app.py:465 | Received: evaluate message 3b53a8e7-c2f4-42dd-a4ff-ac544a7a5fd1
Federated_Learning | INFO flwr 2024-04-29 02:11:12,619 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:12,772 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:12,788 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:12,788 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:12,788 | app.py:465 | Received: train message 141d2403-59d6-40c4-9945-fbc9ba0ee4bd
Federated_Learning | INFO flwr 2024-04-29 02:11:12,801 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:12,801 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:12,801 | app.py:465 | Received: train message 6620bf21-c3e6-4141-82d9-59653cd2fa16
Federated_Learning | INFO flwr 2024-04-29 02:11:12,806 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:12,806 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:12,806 | app.py:465 | Received: train message 4ffcf913-4e81-4d82-8aa1-cf12d6e3ea15
Federated_Learning | INFO flwr 2024-04-29 02:11:25,978 | client.py:232 | Node 1 is transmitter for slot 0
Federated_Learning | INFO flwr 2024-04-29 02:11:25,979 | client.py:309 | There is a delay of 0.524 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:25,980 | client.py:232 | Node 2 is transmitter for slot 1
Federated_Learning | INFO flwr 2024-04-29 02:11:25,981 | client.py:309 | There is a delay of 0.7 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:25,983 | client.py:232 | Node 2 is transmitter for slot 2
Federated_Learning | INFO flwr 2024-04-29 02:11:25,983 | client.py:309 | There is a delay of 0.41300000000000003 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:25,987 | client.py:232 | Node 1 is transmitter for slot 3
Federated_Learning | INFO flwr 2024-04-29 02:11:25,988 | client.py:309 | There is a delay of 0.734 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:25,989 | client.py:232 | Node 1 is transmitter for slot 4
Federated_Learning | INFO flwr 2024-04-29 02:11:25,990 | client.py:309 | There is a delay of 0.643 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:25,993 | client.py:232 | Node 2 is transmitter for slot 5
Federated_Learning | INFO flwr 2024-04-29 02:11:25,994 | client.py:309 | There is a delay of 0.8310000000000001 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:25,995 | client.py:232 | Node 2 is transmitter for slot 6
Federated_Learning | INFO flwr 2024-04-29 02:11:26,017 | client.py:309 | There is a delay of 21.520999999999997 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:26,039 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:26,044 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:26,044 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:26,058 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:26,058 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:26,058 | app.py:465 | Received: evaluate message 2aebc8ac-3ee7-4b4d-9f3f-c98065a9f765
Federated_Learning | INFO flwr 2024-04-29 02:11:26,060 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:26,065 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:26,066 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:26,066 | app.py:465 | Received: evaluate message bff7efb8-cc5a-405c-b126-89a0659ce7a7
Federated_Learning | INFO flwr 2024-04-29 02:11:26,077 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:26,077 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:26,077 | app.py:465 | Received: evaluate message 1f5b42cd-413e-4686-b5b7-69032190071b
Federated_Learning | INFO flwr 2024-04-29 02:11:28,027 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:28,100 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:28,112 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:28,112 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:28,112 | app.py:465 | Received: train message 440e343c-d883-4196-a661-1e3912c7d103
Federated_Learning | INFO flwr 2024-04-29 02:11:28,121 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:28,122 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:28,122 | app.py:465 | Received: train message a52b9742-5fed-45bc-8bc6-4c960125d529
Federated_Learning | INFO flwr 2024-04-29 02:11:28,132 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:28,132 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:28,133 | app.py:465 | Received: train message 01d77001-303b-4022-883a-9740b0eed69a
Federated_Learning | INFO flwr 2024-04-29 02:11:39,328 | client.py:232 | Node 2 is transmitter for slot 0
Federated_Learning | INFO flwr 2024-04-29 02:11:39,329 | client.py:309 | There is a delay of 0.5770000000000001 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:39,474 | client.py:232 | Node 1 is transmitter for slot 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,475 | client.py:309 | There is a delay of 0.7919999999999999 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,477 | client.py:232 | Node 1 is transmitter for slot 2
Federated_Learning | INFO flwr 2024-04-29 02:11:39,478 | client.py:309 | There is a delay of 0.7789999999999999 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,481 | client.py:232 | Node 2 is transmitter for slot 3
Federated_Learning | INFO flwr 2024-04-29 02:11:39,482 | client.py:309 | There is a delay of 0.574 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:39,483 | client.py:232 | Node 2 is transmitter for slot 4
Federated_Learning | INFO flwr 2024-04-29 02:11:39,505 | client.py:309 | There is a delay of 21.125 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:39,509 | client.py:232 | Node 1 is transmitter for slot 5
Federated_Learning | INFO flwr 2024-04-29 02:11:39,510 | client.py:309 | There is a delay of 0.472 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,512 | client.py:232 | Node 1 is transmitter for slot 6
Federated_Learning | INFO flwr 2024-04-29 02:11:39,533 | client.py:309 | There is a delay of 20.697 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,555 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:39,556 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:39,563 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:39,575 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:39,575 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:39,575 | app.py:465 | Received: evaluate message b09516d4-a77b-44ce-b8e8-b473b86cd137
Federated_Learning | INFO flwr 2024-04-29 02:11:39,589 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:39,590 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:39,590 | app.py:465 | Received: evaluate message d710ccde-a7a0-47d4-a086-b3d46b918522
Federated_Learning | INFO flwr 2024-04-29 02:11:39,595 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:39,596 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:39,596 | app.py:465 | Received: evaluate message 4fdc6462-91ab-40e1-809e-877c502b416c
Federated_Learning | INFO flwr 2024-04-29 02:11:39,598 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:41,669 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:41,700 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:41,719 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:41,719 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:41,719 | app.py:465 | Received: train message a95fbfe4-e78f-4c21-8453-a1cc1115e410
Federated_Learning | INFO flwr 2024-04-29 02:11:41,722 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:41,722 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:41,723 | app.py:465 | Received: train message 2775ae1d-10fd-4d1e-a02f-1f9d42c93086
Federated_Learning | INFO flwr 2024-04-29 02:11:41,730 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:41,730 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:41,730 | app.py:465 | Received: train message 37977251-effc-4877-8ca2-835077ace883
Federated_Learning | INFO flwr 2024-04-29 02:11:55,304 | client.py:232 | Node 2 is transmitter for slot 0
Federated_Learning | INFO flwr 2024-04-29 02:11:55,306 | client.py:309 | There is a delay of 1.231 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:55,308 | client.py:232 | Node 1 is transmitter for slot 1
Federated_Learning | INFO flwr 2024-04-29 02:11:55,309 | client.py:309 | There is a delay of 0.5670000000000001 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:55,310 | client.py:232 | Node 1 is transmitter for slot 2
